  157 T=     5. E= -.33252744E+03 F= -.33257073E+03 E0= -.33249136E+03  EK= 0.43295E-01 SP= 0.00E+00 SK= 0.00E+00
  158 T=     5. E= -.33252741E+03 F= -.33257090E+03 E0= -.33249169E+03  EK= 0.43491E-01 SP= 0.00E+00 SK= 0.00E+00
  159 T=     5. E= -.33252738E+03 F= -.33257002E+03 E0= -.33249096E+03  EK= 0.42641E-01 SP= 0.00E+00 SK= 0.00E+00
  160 T=     5. E= -.33252736E+03 F= -.33256831E+03 E0= -.33248940E+03  EK= 0.40951E-01 SP= 0.00E+00 SK= 0.00E+00
  161 T=     5. E= -.33252735E+03 F= -.33256586E+03 E0= -.33248710E+03  EK= 0.38511E-01 SP= 0.00E+00 SK= 0.00E+00
  162 T=     4. E= -.33252733E+03 F= -.33256264E+03 E0= -.33248404E+03  EK= 0.35309E-01 SP= 0.00E+00 SK= 0.00E+00
  163 T=     4. E= -.33252731E+03 F= -.33255868E+03 E0= -.33248024E+03  EK= 0.31375E-01 SP= 0.00E+00 SK= 0.00E+00
  164 T=     3. E= -.33252727E+03 F= -.33255418E+03 E0= -.33247589E+03  EK= 0.26909E-01 SP= 0.00E+00 SK= 0.00E+00
  165 T=     3. E= -.33252724E+03 F= -.33254951E+03 E0= -.33247136E+03  EK= 0.22271E-01 SP= 0.00E+00 SK= 0.00E+00
  166 T=     2. E= -.33252722E+03 F= -.33254505E+03 E0= -.33246703E+03  EK= 0.17831E-01 SP= 0.00E+00 SK= 0.00E+00
  167 T=     2. E= -.33252721E+03 F= -.33254101E+03 E0= -.33246309E+03  EK= 0.13803E-01 SP= 0.00E+00 SK= 0.00E+00
  168 T=     1. E= -.33252721E+03 F= -.33253740E+03 E0= -.33245955E+03  EK= 0.10187E-01 SP= 0.00E+00 SK= 0.00E+00
  169 T=     1. E= -.33252720E+03 F= -.33253410E+03 E0= -.33245630E+03  EK= 0.68937E-02 SP= 0.00E+00 SK= 0.00E+00
  170 T=     0. E= -.33252718E+03 F= -.33253114E+03 E0= -.33245337E+03  EK= 0.39583E-02 SP= 0.00E+00 SK= 0.00E+00
  171 T=     0. E= -.33252715E+03 F= -.33252881E+03 E0= -.33245106E+03  EK= 0.16645E-02 SP= 0.00E+00 SK= 0.00E+00
  172 T=     0. E= -.33252712E+03 F= -.33252760E+03 E0= -.33244983E+03  EK= 0.47555E-03 SP= 0.00E+00 SK= 0.00E+00
  173 T=     0. E= -.33252711E+03 F= -.33252791E+03 E0= -.33245012E+03  EK= 0.80050E-03 SP= 0.00E+00 SK= 0.00E+00
